3	6	0
3	6	1
3	7	1
4	5	0
4	5	1
4	6	0
4	6	1
4	7	1
4	7	2
4	8	2
5	2	0
5	2	1
5	3	0
5	3	1
5	4	0
5	4	1
5	5	0
5	5	1
5	6	1
5	7	1
5	7	2
5	8	2
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	6	2
6	7	1
6	7	2
6	8	2
6	8	3
6	9	3
7	3	1
7	4	1
7	4	2
7	5	1
7	5	2
7	6	1
7	6	2
7	7	2
7	8	2
7	8	3
7	9	3
7	9	4
7	10	4
8	4	2
8	4	3
8	5	2
8	5	3
8	6	2
8	7	2
8	7	3
8	8	2
8	8	3
8	9	3
8	9	4
8	10	4
8	11	4
9	4	3
9	5	2
9	5	3
9	6	2
9	6	3
9	7	2
9	7	3
9	8	3
9	9	3
9	9	4
9	10	4
9	11	4
9	11	5
9	12	5
10	5	3
10	6	3
10	6	4
10	7	3
10	7	4
10	8	3
10	8	4
10	9	3
10	9	4
10	10	4
10	11	4
10	11	5
10	12	5
11	6	4
11	7	4
11	8	4
11	9	4
11	10	4
11	10	5
11	11	4
11	11	5
11	12	5
11	12	6
11	13	6
12	7	4
12	7	5
12	8	4
12	8	5
12	9	4
12	9	5
12	10	4
12	10	5
12	11	5
12	12	5
12	12	6
12	13	6
12	13	7
12	14	7
13	7	5
13	8	5
13	8	6
13	9	5
13	9	6
13	10	5
13	10	6
13	11	5
13	11	6
13	12	5
13	12	6
13	13	6
13	13	7
13	14	7
13	14	8
13	15	8
14	8	6
14	9	6
14	10	6
14	11	6
14	12	6
14	13	6
14	13	7
14	14	7
14	14	8
14	15	8
15	9	6
15	10	6
15	10	7
15	11	6
15	11	7
15	12	6
15	12	7
15	13	6
15	13	7
15	14	7
15	14	8
15	15	8
15	15	9
15	16	9
16	10	7
16	11	7
16	12	7
16	13	7
16	13	8
16	14	7
16	14	8
16	15	8
16	15	9
16	16	9
16	17	9
17	11	7
17	11	8
17	12	7
17	12	8
17	13	7
17	13	8
17	14	8
17	15	8
17	15	9
17	16	9
17	17	9
17	17	10
17	18	10
18	11	8
18	12	8
18	12	9
18	13	8
18	13	9
18	14	8
18	14	9
18	15	8
18	15	9
18	16	9
18	17	9
18	17	10
18	18	10
19	12	9
19	13	9
19	14	9
19	15	9
19	16	9
19	16	10
19	17	9
19	17	10
19	18	10
19	28	4
19	29	4
19	30	4
19	31	3
19	31	4
19	32	3
19	33	3
19	34	3
19	35	3
19	36	3
19	37	3
19	38	2
19	38	3
19	39	2
19	40	2
19	40	3
19	41	3
19	42	3
19	43	3
19	44	3
19	45	3
19	46	3
19	47	3
19	47	4
19	48	4
20	13	9
20	14	9
20	14	10
20	15	9
20	15	10
20	16	9
20	16	10
20	17	10
20	20	8
20	21	7
20	21	8
20	22	6
20	22	7
20	23	6
20	24	5
20	24	6
20	25	5
20	26	4
20	26	5
20	27	4
20	28	3
20	28	4
20	29	3
20	29	4
20	30	3
20	30	4
20	31	2
20	31	3
20	31	4
20	32	2
20	32	3
20	33	2
20	33	3
20	34	2
20	34	3
20	35	2
20	35	3
20	36	2
20	36	3
20	37	2
20	37	3
20	38	2
20	38	3
20	39	2
20	40	2
20	40	3
20	41	2
20	41	3
20	42	2
20	42	3
20	43	2
20	43	3
20	44	2
20	44	3
20	45	2
20	45	3
20	46	2
20	46	3
20	47	2
20	47	3
20	47	4
20	48	3
20	48	4
20	49	3
20	50	3
20	50	4
20	51	4
20	52	4
20	52	5
