Time,Load
0,2.00E+13
0.0006,2.00E+13
0.0006025,0
5,0
5.0000025,2.00E+13
5.0006,2.00E+13
5.0006025,0
10,0
10.0000025,2.00E+13
10.0006,2.00E+13
10.0006025,0
15,0
15.0000025,2.00E+13
15.0006,2.00E+13
15.0006025,0
20,0
20.0000025,2.00E+13
20.0006,2.00E+13
20.0006025,0
25,0
25.0000025,2.00E+13
25.0006,2.00E+13
25.0006025,0
30,0
30.0000025,2.00E+13
30.0006,2.00E+13
30.0006025,0
35,0
35.0000025,2.00E+13
35.0006,2.00E+13
35.0006025,0
40,0
40.0000025,2.00E+13
40.0006,2.00E+13
40.0006025,0
45,0
45.0000025,2.00E+13
45.0006,2.00E+13
45.0006025,0
50,0
50.0000025,2.00E+13
50.0006,2.00E+13
50.0006025,0
55,0
55.0000025,2.00E+13
55.0006,2.00E+13
55.0006025,0
60,0
60.0000025,2.00E+13
60.0006,2.00E+13
60.0006025,0
65,0
65.0000025,2.00E+13
65.0006,2.00E+13
65.0006025,0
70,0
70.0000025,2.00E+13
70.0006,2.00E+13
70.0006025,0
75,0
75.0000025,2.00E+13
75.0006,2.00E+13
75.0006025,0
80,0
80.0000025,2.00E+13
80.0006,2.00E+13
80.0006025,0
85,0
85.0000025,2.00E+13
85.0006,2.00E+13
85.0006025,0
90,0
90.0000025,2.00E+13
90.0006,2.00E+13
90.0006025,0
95,0
95.0000025,2.00E+13
95.0006,2.00E+13
95.0006025,0
100,0
100.0000025,2.00E+13
100.0006,2.00E+13
100.0006025,0
105,0
105.0000025,2.00E+13
105.0006,2.00E+13
105.0006025,0
110,0
110.0000025,2.00E+13
110.0006,2.00E+13
110.0006025,0
115,0
115.0000025,2.00E+13
115.0006,2.00E+13
115.0006025,0
120,0
120.0000025,2.00E+13
120.0006,2.00E+13
120.0006025,0
125,0
125.0000025,2.00E+13
125.0006,2.00E+13
125.0006025,0
130,0
130.0000025,2.00E+13
130.0006,2.00E+13
130.0006025,0
135,0
135.0000025,2.00E+13
135.0006,2.00E+13
135.0006025,0
140,0
140.0000025,2.00E+13
140.0006,2.00E+13
140.0006025,0
145,0
145.0000025,2.00E+13
145.0006,2.00E+13
145.0006025,0
150,0
150.0000025,2.00E+13
150.0006,2.00E+13
150.0006025,0
155,0
155.0000025,2.00E+13
155.0006,2.00E+13
155.0006025,0
160,0
160.0000025,2.00E+13
160.0006,2.00E+13
160.0006025,0
165,0
165.0000025,2.00E+13
165.0006,2.00E+13
165.0006025,0
170,0
170.0000025,2.00E+13
170.0006,2.00E+13
170.0006025,0
175,0
175.0000025,2.00E+13
175.0006,2.00E+13
175.0006025,0
180,0
180.0000025,2.00E+13
180.0006,2.00E+13
180.0006025,0
185,0
185.0000025,2.00E+13
185.0006,2.00E+13
185.0006025,0
190,0
190.0000025,2.00E+13
190.0006,2.00E+13
190.0006025,0
195,0
195.0000025,2.00E+13
195.0006,2.00E+13
195.0006025,0
200,0
200.0000025,2.00E+13
200.0006,2.00E+13
200.0006025,0
205,0
205.0000025,2.00E+13
205.0006,2.00E+13
205.0006025,0
210,0
210.0000025,2.00E+13
210.0006,2.00E+13
210.0006025,0
215,0
215.0000025,2.00E+13
215.0006,2.00E+13
215.0006025,0
220,0
220.0000025,2.00E+13
220.0006,2.00E+13
220.0006025,0
225,0
225.0000025,2.00E+13
225.0006,2.00E+13
225.0006025,0
230,0
230.0000025,2.00E+13
230.0006,2.00E+13
230.0006025,0
235,0
235.0000025,2.00E+13
235.0006,2.00E+13
235.0006025,0
240,0
240.0000025,2.00E+13
240.0006,2.00E+13
240.0006025,0
245,0
245.0000025,2.00E+13
245.0006,2.00E+13
245.0006025,0
250,0
250.0000025,2.00E+13
250.0006,2.00E+13
250.0006025,0
255,0
255.0000025,2.00E+13
255.0006,2.00E+13
255.0006025,0
260,0
260.0000025,2.00E+13
260.0006,2.00E+13
260.0006025,0
265,0
265.0000025,2.00E+13
265.0006,2.00E+13
265.0006025,0
270,0
270.0000025,2.00E+13
270.0006,2.00E+13
270.0006025,0
275,0
275.0000025,2.00E+13
275.0006,2.00E+13
275.0006025,0
280,0
280.0000025,2.00E+13
280.0006,2.00E+13
280.0006025,0
285,0
285.0000025,2.00E+13
285.0006,2.00E+13
285.0006025,0
290,0
290.0000025,2.00E+13
290.0006,2.00E+13
290.0006025,0
295,0
295.0000025,2.00E+13
295.0006,2.00E+13
295.0006025,0
300,0
300.0000025,2.00E+13
300.0006,2.00E+13
300.0006025,0
305,0
305.0000025,2.00E+13
305.0006,2.00E+13
305.0006025,0
310,0
310.0000025,2.00E+13
310.0006,2.00E+13
310.0006025,0
315,0
315.0000025,2.00E+13
315.0006,2.00E+13
315.0006025,0
320,0
320.0000025,2.00E+13
320.0006,2.00E+13
320.0006025,0
325,0
325.0000025,2.00E+13
325.0006,2.00E+13
325.0006025,0
330,0
330.0000025,2.00E+13
330.0006,2.00E+13
330.0006025,0
335,0
335.0000025,2.00E+13
335.0006,2.00E+13
335.0006025,0
340,0
340.0000025,2.00E+13
340.0006,2.00E+13
340.0006025,0
345,0
345.0000025,2.00E+13
345.0006,2.00E+13
345.0006025,0
350,0
350.0000025,2.00E+13
350.0006,2.00E+13
350.0006025,0
355,0
355.0000025,2.00E+13
355.0006,2.00E+13
355.0006025,0
360,0
360.0000025,2.00E+13
360.0006,2.00E+13
360.0006025,0
365,0
365.0000025,2.00E+13
365.0006,2.00E+13
365.0006025,0
370,0
370.0000025,2.00E+13
370.0006,2.00E+13
370.0006025,0
375,0
375.0000025,2.00E+13
375.0006,2.00E+13
375.0006025,0
380,0
380.0000025,2.00E+13
380.0006,2.00E+13
380.0006025,0
385,0
385.0000025,2.00E+13
385.0006,2.00E+13
385.0006025,0
390,0
390.0000025,2.00E+13
390.0006,2.00E+13
390.0006025,0
395,0
395.0000025,2.00E+13
395.0006,2.00E+13
395.0006025,0
400,0
400.0000025,2.00E+13
400.0006,2.00E+13
400.0006025,0
405,0
405.0000025,2.00E+13
405.0006,2.00E+13
405.0006025,0
410,0
410.0000025,2.00E+13
410.0006,2.00E+13
410.0006025,0
415,0
415.0000025,2.00E+13
415.0006,2.00E+13
415.0006025,0
420,0
420.0000025,2.00E+13
420.0006,2.00E+13
420.0006025,0
425,0
425.0000025,2.00E+13
425.0006,2.00E+13
425.0006025,0
430,0
430.0000025,2.00E+13
430.0006,2.00E+13
430.0006025,0
435,0
435.0000025,2.00E+13
435.0006,2.00E+13
435.0006025,0
440,0
440.0000025,2.00E+13
440.0006,2.00E+13
440.0006025,0
445,0
445.0000025,2.00E+13
445.0006,2.00E+13
445.0006025,0
450,0
450.0000025,2.00E+13
450.0006,2.00E+13
450.0006025,0
455,0
455.0000025,2.00E+13
455.0006,2.00E+13
455.0006025,0
460,0
460.0000025,2.00E+13
460.0006,2.00E+13
460.0006025,0
465,0
465.0000025,2.00E+13
465.0006,2.00E+13
465.0006025,0
470,0
470.0000025,2.00E+13
470.0006,2.00E+13
470.0006025,0
475,0
475.0000025,2.00E+13
475.0006,2.00E+13
475.0006025,0
480,0
480.0000025,2.00E+13
480.0006,2.00E+13
480.0006025,0
485,0
485.0000025,2.00E+13
485.0006,2.00E+13
485.0006025,0
490,0
490.0000025,2.00E+13
490.0006,2.00E+13
490.0006025,0
495,0
495.0000025,2.00E+13
495.0006,2.00E+13
495.0006025,0
500,0
500.0000025,2.00E+13
500.0006,2.00E+13
500.0006025,0
505,0
505.0000025,2.00E+13
505.0006,2.00E+13
505.0006025,0
510,0
510.0000025,2.00E+13
510.0006,2.00E+13
510.0006025,0
515,0
515.0000025,2.00E+13
515.0006,2.00E+13
515.0006025,0
520,0
520.0000025,2.00E+13
520.0006,2.00E+13
520.0006025,0
525,0
525.0000025,2.00E+13
525.0006,2.00E+13
525.0006025,0
530,0
530.0000025,2.00E+13
530.0006,2.00E+13
530.0006025,0
535,0
535.0000025,2.00E+13
535.0006,2.00E+13
535.0006025,0
540,0
540.0000025,2.00E+13
540.0006,2.00E+13
540.0006025,0
545,0
545.0000025,2.00E+13
545.0006,2.00E+13
545.0006025,0
550,0
550.0000025,2.00E+13
550.0006,2.00E+13
550.0006025,0
555,0
555.0000025,2.00E+13
555.0006,2.00E+13
555.0006025,0
560,0
560.0000025,2.00E+13
560.0006,2.00E+13
560.0006025,0
565,0
565.0000025,2.00E+13
565.0006,2.00E+13
565.0006025,0
570,0
570.0000025,2.00E+13
570.0006,2.00E+13
570.0006025,0
575,0
575.0000025,2.00E+13
575.0006,2.00E+13
575.0006025,0
580,0
580.0000025,2.00E+13
580.0006,2.00E+13
580.0006025,0
585,0
585.0000025,2.00E+13
585.0006,2.00E+13
585.0006025,0
590,0
590.0000025,2.00E+13
590.0006,2.00E+13
590.0006025,0
595,0
595.0000025,2.00E+13
595.0006,2.00E+13
595.0006025,0
600,0
600.0000025,2.00E+13
600.0006,2.00E+13
600.0006025,0
605,0
605.0000025,2.00E+13
605.0006,2.00E+13
605.0006025,0
610,0
610.0000025,2.00E+13
610.0006,2.00E+13
610.0006025,0
615,0
615.0000025,2.00E+13
615.0006,2.00E+13
615.0006025,0
620,0
620.0000025,2.00E+13
620.0006,2.00E+13
620.0006025,0
625,0
625.0000025,2.00E+13
625.0006,2.00E+13
625.0006025,0
630,0
630.0000025,2.00E+13
630.0006,2.00E+13
630.0006025,0
635,0
